x,y,A128,A129,A130,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
851277,9792631,3434,931,3652,0,719.6240234,1.0711437,0,2922,1948,0,974,0,0,8765.9998779,843015,0,9548,two2572,0.00667058148367688,0.607469512195122
862407,9778719,12522,488,6131,0,727.1325073,15.1833925,0,5844,1948,3896,0,0,0,17531.9996338,832465,0,15875,two3778,0.0095267717638214,0.607469512195122
864262,9772226,12775,3736,3380,1,619.9984741,0.2517227,0,5844,3896,0,974,0,974,9740,860220,0.290623615951529,9274,two4413,0.117320141776632,0.607469512195122
866117,9770371,13674,2079,2720,1,631.0466309,16.721344,0,0,0,0,0,0,0,25324.0002136,851618,1.11405719448086,7477,two4621,0.0893224077101291,0.607469512195122
863335,9768516,10451,509,4484,1,687.8649292,6.9659486,0,0,0,0,0,0,0,6818.0002136,860220,0.726559039878822,5641,two4834,0.0454533706943064,0.607469512195122
856842,9767589,4038,270,2135,1,640.852478,2.4902256,0,6818,0,0,974,5844,0,7791.9998169,860220,4.5046660472487,6558,two4941,0.0435091806745221,0.607469512195122
862407,9767589,9331,764,3787,1,691.7650146,9.3785009,0,4870,4870,0,0,0,0,7792.0001526,851618,0.435935423927293,4994,two4947,0.0552194805789616,0.607469512195122
863335,9767589,10244,42,4046,1,746.0092163,13.2194014,0,2922,2922,0,0,0,0,7792.0001526,851618,0.774996309204077,4729,two4948,0.0457817969317232,1.21493902439024
861480,9764806,8269,30,882,1,671.1278687,5.7076106,0,7792,6818,0,0,974,0,14609.9997559,830517,1.69530442638392,3344,two5311,0.0454469784364392,0.607469512195122
860552,9756459,11619,5125,7380,1,908.1783447,12.6486454,0,0,0,0,0,0,0,3896,834413,2.08280258098596,6221,two6542,0.0344807229606106,0.607469512195122
840148,9721215,14935,4612,6173,1,1048.9246826,16.6169567,0,0,0,0,0,0,0,1948,834413,5.95778412700634,14868,two12912,0.0685287095916081,0.607469512195122
841075,9720287,15941,3630,4980,1,1045.5373535,31.5331573,0,0,0,0,0,0,0,1948,834413,5.27966235645277,15767,two13098,0.154326956562282,0.607469512195122
842003,9720287,16866,2700,4101,1,1333.7645264,37.2790298,0,0,0,0,0,0,0,1948,825811,4.79528966320023,16694,two13099,0.17268264392788,0.607469512195122
781716,9719360,6695,3927,12087,1,2351.2148438,15.9762335,0,0,0,0,0,0,0,0,774198,1.79217896503443,17051,two13220,0.0108126731812897,0.607469512195122
839220,9713795,16078,8376,5333,1,1167.5894775,18.8019848,0,974,0,0,974,0,0,6818,843015,7.74996309204077,15296,two14493,0.0906811791088191,0.607469512195122
848495,9713795,24648,3542,3313,1,834.994751,7.9933314,0,0,0,0,0,0,0,973.9999924,860220,1.30780627178188,15848,two14503,0.223325972581994,1.21493902439024
848495,9712867,24948,4221,3841,1,824.7415161,16.8684807,0,0,0,0,0,0,0,973.9999924,851618,1.93749077301019,14983,two14714,0.227697271554069,1.21493902439024
830873,9709158,13499,898,11119,1,1843.4355469,23.9346142,0,0,0,0,0,0,0,2922,774198,15.7905498000331,6492,two15530,0.000317223755768501,0.607469512195122
831800,9709158,13925,1730,10245,1,1889.2304688,31.2173214,0,974,0,974,0,0,0,3896,834413,15.0639907601542,7419,two15531,0.000845345892196379,0.607469512195122
795629,9697100,1594,632,1180,0,519.5623779,1.0227001,0,2922,0,1948,0,974,0,51622.0008545,850644,5.71559778038007,0,two18063,0.00053131356170808,0.607469512195122
870754,9692463,11106,254,5676,0,223.9904022,2.8657551,0,37012,0,0,14610,19480,2922,0,860220,0,7419,two19046,0.0058470879590271,0.607469512195122
828090,9690608,16575,4638,1425,1,963.5303955,18.2513103,0,0,0,0,0,0,0,974,834413,4.35935423927293,10574,two19342,0.157007795202304,0.607469512195122
829018,9690608,17473,5206,551,1,880.2501831,5.2721105,0,0,0,0,0,0,0,0,817209,5.08591327915175,11321,two19343,0.135986245079266,0.607469512195122
828090,9689680,16666,3937,1782,1,1143.6315918,36.1314735,0,0,0,0,0,0,0,974,825811,3.24529704479207,11168,two19505,0.236422470051709,1.21493902439024
829945,9689680,18483,5125,825,1,811.3146362,15.7167797,0,0,0,0,0,0,0,0,834413,5.66716051105481,12615,two19507,0.205786562316194,0.607469512195122
831800,9689680,20331,6163,174,1,812.1992188,30.3688221,0,0,0,0,0,0,0,0,834413,6.78121770553567,14157,two19509,0.366531491333661,0.607469512195122
831800,9688753,20450,5469,1036,1,912.8642578,28.0803547,0,0,0,0,0,0,0,0,843015,5.86090958835583,14126,two19668,0.300156699820454,2.42987804878049
829018,9687826,17880,3045,2891,1,1128.9794922,9.2228985,0,0,0,0,0,0,0,0,843015,4.55310331657395,11206,two19819,0.0654243180626613,0.607469512195122
829945,9687826,18788,3542,2563,1,1133.6018066,12.8576069,0,0,0,0,0,0,0,0,834413,4.79528966320023,12057,two19820,0.0863044304205547,0.607469512195122
831800,9687826,20609,4794,1907,1,1170.8850098,29.9642544,0,0,0,0,0,0,0,0,843015,4.74685239387497,13787,two19822,0.229365503560305,0.607469512195122
864262,9687826,6965,2305,400,0,237.8529663,2.2289743,0,0,0,0,0,0,0,31167.9993286,860220,1.21093173313137,7978,two19857,0.01177429773191,0.607469512195122
873537,9687826,7621,792,5437,0,190,0,0,13636,11688,0,0,0,1948,12661.9995652,860220,0,3344,two19867,0.00279756139484547,1.21493902439024
863335,9686898,6699,2670,1470,0,234.6800842,8.378067,0,0,0,0,0,0,0,21428,860220,1.25936900245663,7869,two20007,0.0146875023908604,0.607469512195122
864262,9686898,6159,1847,1317,0,207.0664368,1.6852407,0,0,0,0,0,0,0,45778.0013428,834413,0.726559039878822,7243,two20008,0.00593078025222306,0.607469512195122
860552,9684116,6963,708,4690,0,230.9804077,2.0874488,0,6818,1948,0,1948,2922,0,8765.9996643,860220,1.25936900245663,8798,two20439,0.00648023642990299,4.25228658536585
878174,9684116,8551,5810,2954,0,191.0293121,1.2273843,0,5844,0,0,0,1948,3896,38960.0008545,853402,0,927,two20458,0.00389624842294507,0.607469512195122
821598,9680406,14409,5800,12668,1,1386.6206055,12.3683758,0,0,0,0,0,0,0,0,817209,7.26559039878822,3934,two20939,0.0018629607483429,0.607469512195122
846640,9679478,8441,937,2965,0,300.0035706,-0.0032971,0,0,0,0,0,0,0,11687.9995652,860220,0.629684501228313,19827,two21096,0.0407978850877579,0.607469512195122
859625,9678551,3797,3300,2446,0,269.4170837,1.021354,0,0,0,0,0,0,0,37012.001709,860220,3.5359206607436,9683,two21238,0.00608539238031249,0.607469512195122
822525,9677623,15306,5831,9794,1,1200,0.200118,0,0,0,0,0,0,0,0,817209,5.32809962577803,6688,two21323,0.00597241174193011,0.607469512195122
845713,9677623,7215,1049,1633,0,320.9499512,6.4386115,0,1948,0,0,0,0,1948,0,860220,0.193749077301019,21512,two21348,0.116954003141253,0.607469512195122
821598,9676696,14214,4923,9025,1,1200,0,0,0,0,0,0,0,0,974,843015,2.76092435153952,5408,two21444,0.00901570749127475,0.607469512195122
854060,9676696,3355,6254,1682,1,848.1182251,22.1078491,0,0,0,0,0,0,0,974,834413,1.93749077301019,15547,two21479,0.530108319978211,1.21493902439024
820671,9675768,13162,4234,8256,1,1055.2414551,29.9542809,0,0,0,0,0,0,0,974,834413,2.61561254356376,4147,two21562,0.0277259487715193,1.21493902439024
823453,9673913,14642,7540,5973,1,1077.2958984,21.8230858,0,0,0,0,0,0,0,973.9999924,817209,2.56717527423851,6492,two21796,0.0672626766075965,1.21493902439024
856842,9672986,408,6609,480,0,294.5507202,10.3936758,0,4870,0,0,0,4870,0,973.9999924,860220,0,14664,two21944,0.159793430648424,0.607469512195122
855915,9672058,787,6050,268,0,422.5498657,10.9008083,0,34090,0,19480,0,8766,5844,974,860220,0,15956,two22051,0.163433233129239,0.607469512195122
856842,9672058,174,6831,632,0,292.0192871,13.8981133,0,16558,0,7792,0,1948,6818,974,851618,0,15211,two22052,0.184422400364372,1.82240853658537
839220,9671131,4560,4887,1870,1,569.1295166,17.7666969,0,0,0,0,0,0,0,1948,860220,3.19685977546682,22432,two22139,0.700329254842119,0.607469512195122
833655,9670203,5463,6271,5461,1,915.5,9.0044184,0,0,0,0,0,0,0,0,825811,1.40468081043239,17101,two22237,0.263407751624765,2.42987804878049
834583,9670203,5074,6048,5123,1,965.8687134,18.8189983,0,0,0,0,0,0,0,0,843015,1.35624354110713,18008,two22238,0.382581122025924,0.607469512195122
837365,9670203,4592,4980,3379,1,636.7161255,18.6175728,0,0,0,0,0,0,0,0,860220,1.88905350368494,20739,two22241,0.622834758196834,0.607469512195122
850350,9669276,1608,60,1492,0,229.2184906,6.0328999,0,4870,0,0,0,4870,0,973.9999924,851618,0,22123,two22357,0.133348854332955,0.607469512195122
819743,9668348,11224,5494,1400,1,1180.4576416,2.8308904,0,0,0,0,0,0,0,974,817209,1.79217896503443,6221,two22423,0.0776184612761248,0.607469512195122
816961,9665566,8802,2274,90,0,715.6994019,9.919322,0,0,0,0,0,0,0,11687.9998779,860220,1.21093173313137,8347,two22712,0.0154622898815028,0.607469512195122
