A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
9422,3804,9302,0,1,1564.4328613,15.3870058,0,974,0,974,0,0,0,0,774198,11.1890092141339,7477,two268,0.000577336032266926,0.719734660033168,816033,9829730,-78.16004231403,-1.53857826380344
24147,3048,5117,0,1,1833.1861572,33.2062111,0,974,0,974,0,0,0,973.9999924,800004,3.29373431411733,23205,two1777,0.0078045459476267,0.719734660033168,803976,9802833,-78.2679736638581,-1.78178517459032
23634,1323,5302,0,1,1579.182373,24.8032856,0,0,0,0,0,0,0,14610,817209,4.45622877792344,22278,two1913,0.00504332207659685,0.719734660033168,804903,9800978,-78.2596192867449,-1.7985356494343
20921,1811,7929,0,1,1712.5415039,15.6601458,0,0,0,0,0,0,0,0,774198,4.0687306233214,19097,two2254,0.00232706018943827,0.719734660033168,806758,9796341,-78.2428966963068,-1.84041711102774
18500,3273,10982,0,1,1806.2133789,37.7663803,0,12662,9740,2922,0,0,0,2922.0000534,773224,3.87498154602038,17597,two2457,0.0030426702473425,0.719734660033168,808613,9793558,-78.2261984897839,-1.86553477325239
5443,1200,5142,1,0,1031.8845215,5.4471531,0,0,0,0,0,0,0,5843.9998169,825811,0.193749077301019,12092,two3680,0.0108868366818763,0.719734660033168,852205,9779646,-77.8345438809492,-1.99054314125185
12522,488,6131,1,0,727.1325073,15.1833925,0,5844,1948,3896,0,0,0,17531.9996338,832465,0,15875,two3778,0.0175834494700854,0.719734660033168,862407,9778719,-77.7429320677596,-1.99874101071613
5187,3420,4109,1,1,958.6878052,14.7953815,0,0,0,0,0,0,0,11688,843015,0.193749077301019,7477,two4020,0.126593776175828,0.719734660033168,847567,9775936,-77.8761171498693,-2.02413729332576
9646,1090,9096,1,1,818.1033325,19.4946804,0,0,0,0,0,0,0,4870,834413,0.193749077301019,10032,two4118,0.103135665593649,0.719734660033168,855915,9775009,-77.8011538615212,-2.03236813480469
13585,3246,2736,1,1,619.9001465,2.052968,0,17532,4870,0,974,0,11688,17532.0004273,851618,0.871870847854587,9321,two4414,0.105947484662517,0.719734660033168,865190,9772226,-77.717834562293,-2.05733165707001
17810,1306,882,1,0,565.6914063,12.4252796,0,1948,0,0,0,1948,0,15584,834413,0.629684501228313,9548,two4419,0.0192589012984733,0.719734660033168,869827,9772226,-77.6762024358397,-2.05724487782098
