A128,A129,A130,A154,A347,A361,A362,PMI,toPeru.km,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
27913,4640,5261,0,1,938.802734,26.403902,0,50.16118,0,0,0,0,0,0,0,834413,1.017183,24185,two12926,0.0683139690652533,0.662797125483693
30907,4008,4445,0,1,736.175659,23.348989,0,46.64222,0,0,0,0,0,0,1948.000053,860220,0.048437,23408,two13489,0.120038696113645,0.662797125483693
31182,2419,2846,0,1,657.606445,15.633788,0,44.87511,0,0,0,0,0,0,0,860220,0.339061,21889,two13880,0.121556187400832,0.662797125483693
16078,8376,5333,1,1,1167.589478,18.801985,0,47.52829,974,0,0,974,0,0,6818,843015,7.749963,15296,two14493,0.00803363153496383,0.662797125483693
12138,7295,5020,1,1,1855.006958,27.428528,0,38.12836,974,0,0,0,974,0,974,817209,7.749963,4637,two18641,0.00556665423384563,0.662797125483693
14683,5610,3088,1,1,1326.025269,21.352217,0,34.91321,0,0,0,0,0,0,1947.999985,825811,9.639017,7978,two18998,0.00769100879813381,0.662797125483693
10698,1113,3053,1,0,273.362823,6.899587,0,18.78005,0,0,0,0,0,0,10714.000303,860220,1.889054,11621,two19211,0.0500232346427246,1.32559425096739
14721,3823,3276,1,1,1484.198853,20.45438,0,33.50504,0,0,0,0,0,0,1948.000053,843015,5.3281,9181,two19340,0.034586946599592,0.662797125483693
14823,2970,3453,1,1,1655.497192,16.038309,0,32.81761,1948,0,0,0,1948,0,974,722584,4.020293,9859,two19503,0.0247633746267723,0.662797125483693
15744,3370,2589,1,1,1305.200562,21.790775,0,32.19573,0,0,0,0,0,0,974,834413,3.439046,10493,two19504,0.0941402410662118,1.32559425096739
16666,3937,1782,1,1,1143.631592,36.131474,0,31.58885,0,0,0,0,0,0,974,825811,3.245297,11168,two19505,0.184249565066097,0.662797125483693
20331,6163,174,1,1,812.199219,30.368822,0,29.32951,0,0,0,0,0,0,0,834413,6.781218,14157,two19509,0.0840970969576601,0.662797125483693
9044,1523,1247,1,0,269.348572,6.389007,0,17.05152,0,0,0,0,0,0,8765.999664,851618,2.13124,10032,two19543,0.0551790016643161,0.662797125483693
19531,4851,1366,1,1,1090.42981,26.808285,0,29.12348,0,0,0,0,0,0,0,851618,5.957784,13279,two19667,0.0753170366404497,0.662797125483693
11223,516,421,1,0,216.952713,0.872427,0,17.59771,1948,0,0,0,1948,0,21428,841067,5.764035,12615,two19697,0.0117816219868887,1.32559425096739
7599,658,3214,1,0,193.743774,1.260383,0,14.12696,8766,0,6818,1948,0,0,1948,860220,0,5938,two19710,0.113943199754946,0.662797125483693
16102,1930,3748,1,1,1322.966675,31.128944,0,30.83088,0,0,0,0,0,0,0,825811,5.715598,9548,two19817,0.0625804835185076,1.32559425096739
20609,4794,1907,1,1,1170.88501,29.964254,0,27.82442,0,0,0,0,0,0,0,843015,4.746852,13787,two19822,0.104695506702693,1.32559425096739
6965,2305,400,1,0,237.852966,2.228974,0,14.98391,0,0,0,0,0,0,31167.999333,860220,1.210932,7978,two19857,0.0451996875393277,0.662797125483693
7001,540,3738,1,0,189,0,0,12.91831,0,0,0,0,0,0,6818.000053,860220,0,4637,two19865,0.0985123723360468,1.32559425096739
7267,400,4573,1,0,189,0,0,12.6151,0,0,0,0,0,0,9739.999565,851618,0,3934,two19866,0.082535504897214,0.662797125483693
5583,2656,8430,1,1,1738.975464,23.29953,0,37.52573,0,0,0,0,0,0,0,627960,3.245297,5246,two19955,0.0196257527167501,0.662797125483693
7318,2047,1629,1,0,240.228226,1.541654,0,14.66475,0,0,0,0,0,0,15584,860220,1.695304,8550,two20006,0.0524370996088821,0.662797125483693
14082,853,7026,1,1,1199.985718,0.047615,0,30.99784,0,0,0,0,0,0,0,825811,10.607762,6221,two20113,0.00411622716795293,0.662797125483693
6963,708,4690,1,0,230.980408,2.087449,0,12.6151,6818,1948,0,1948,2922,0,8765.999664,860220,1.259369,8798,two20439,0.0740197002042775,2.65118850193477
8143,313,5919,1,0,256.044647,5.337278,0,12.37413,20454,0,3896,2922,0,13636,10713.999561,851618,2.518738,10369,two20577,0.0479907651269745,0.662797125483693
9017,295,3149,1,0,309.229553,5.819195,0,13.2795,1948,0,0,0,0,1948,27272.000606,824837,1.307806,19120,two20967,0.0673983931514651,1.32559425096739
