A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
5604,2650,5705,1,1,12,844.710205,1.31334,0,5198.979004,-418.436524,-105.299805,-37.3994140000004,368.98584,-424.75,-219.973145,97.4506839999995,851618,0.170499,10202,three,-0.119128999999999,5.732244,-8.968998,-0.250244,0.247997,3.119872,0.0637814923641465,0.567264573991031
8841,917,8762,1,1,12,1108.092285,24.459383,0,5044.126953,92.0458989999997,178.71582,319.716308999999,-282.274902,179.9458,-304.057128,501.620118,817209,0.371998,9683,three,-0.100474,5.579428,-8.812536,-0.220048,0.236789,3.115893,0.0180705146648723,1.13452914798206
13702,2142,4658,1,0,6,807.355103,18.622141,0,5452.072754,-73.7456059999995,-35.5683589999999,-202.041504,726.265625,-1075.146973,512.745605,50.5913090000004,860220,0.356498,13116,three,-0.083863,4.935734,-8.117726,-0.232476,0.220141,3.110464,0.0298305842446446,0.567264573991031
12389,3373,5370,1,1,6,981.403503,10.652276,0,5214.396973,-795.329102,-746.923828,187.45166,317.875488000001,-55.2866210000002,-498.445801,342.34375,817209,0.356498,12374,three,-0.0834799999999998,4.993471,-8.194154,-0.218308,0.224884,3.110627,0.292029030999886,0.567264573991031
11709,3588,5352,1,1,6,997.186646,11.068724,0,5004.751465,-475.698242,-412.768555000001,749.022949,-347.827148,-452.072754,-12.0527339999999,315.473633000001,825811,0.356498,11472,three,-0.078462,4.970953,-8.184104,-0.203375,0.226509,3.111555,0.328253485870514,0.567264573991031
13082,2731,3498,1,1,6,752.281494,5.651402,0,5020.808594,312.339844,398.284179,313.562989,240.520995999999,-474.833008,-165.195312,20.9501950000003,860220,0.371998,11168,three,-0.0715370000000002,4.808219,-8.012053,-0.201706,0.220716,3.113287,0.375773046893607,1.13452914798206
13812,2202,2575,1,0,6,722.53656,3.610909,0,4776.33252,229.691894000001,418.401367,359.412597,-38.0571289999998,-601.663085,91.5981440000005,85.1166990000002,851618,0.356498,11129,three,-0.0680750000000003,4.726852,-7.926028,-0.200872,0.217821,3.114152,0.073252064637261,0.567264573991031
5356,5967,5055,1,1,12,1115.359253,21.766695,0,4684.928711,-153.747069999999,129.110351,645.729981,-544.526855,227.384765,-611.445312,498.473633000001,816235,0.154999,6752,three,-0.0664530000000001,5.652867,-8.92963,-0.163139,0.244098,3.129351,0.115632423031288,0.567264573991031
12510,3494,3711,1,1,6,674.757996,8.670975,0,5030.111328,377.743164,234.314453,639.00293,-512.649414,8.36035100000026,8.71484400000008,18.7441410000001,860220,0.371998,10244,three,-0.0676920000000001,4.78459,-8.002458,-0.186703,0.222564,3.114315,0.426720408969662,0.567264573991031
13271,2970,2857,1,1,6,640,0,0,5099.106934,-6.84961000000021,386.814941,202.82959,-88.0576170000004,-262.612305,-245.824219,101.722168,843015,0.371998,10202,three,-0.0648149999999994,4.702668,-7.91666,-0.185835,0.21978,3.115232,0.439742274518074,0.567264573991031
11212,3179,4937,1,1,6,872.563171,8.853505,0,5025.845703,369.827149,802.112793,-246.713867,-355.761719,-143.349120999999,313.539062999999,-144.959473,834413,0.371998,9458,three,-0.0661379999999996,4.843436,-8.07843,-0.172606,0.227085,3.114377,0.28637110393979,1.13452914798206
11983,3501,4127,1,1,6,692.927246,13.196348,0,4949.887207,772.336914,538.707031,271.789063,-514.137696,-125.969726,601.948242,-63.2514650000003,851618,0.371998,9321,three,-0.063847,4.76096,-7.992861,-0.171701,0.224411,3.115344,0.404495403280103,0.567264573991031
12775,3736,3380,1,1,6,619.998474,0.251723,0,4714.710938,868.411621,438.474121,-52.6762699999999,-139.785644000001,496.864257,125.535157,50.6787110000005,860220,0.371998,9274,three,-0.0615550000000002,4.678484,-7.907291,-0.170798,0.221739,3.116311,0.527506325254975,3.40358744394619
9186,1859,6853,1,1,6,1084.107788,27.966539,0,4622.838379,-213.132324,-469.777832,919.902344,-310.199707,-196.890137,-156.166992,404.311035,851618,0.371998,9134,three,-0.0651159999999997,4.986426,-8.239293,-0.159513,0.233943,3.113321,0.283621452607178,0.567264573991031
11506,2686,4693,1,1,6,701.738525,11.809143,0,4839.649902,566.036621,593.94043,368.990234,-221.336914,-536.688964,361.131835,-180.558105,849670,0.371998,8398,three,-0.0600009999999997,4.73733,-7.983264,-0.156699,0.226259,3.116373,0.353641608648441,0.567264573991031
24633,1499,1412,1,0,6,562.711853,4.961684,0,5155.401855,492.999512,225.112793,101.487792999999,98.2270510000008,-158.375,226.546875,-9.32324200000039,856324,1.069495,15436,three,0.0265639999999996,3.821713,-7.017173,-0.117809,0.178386,3.161447,0.0168065940551505,1.70179372197309
26448,417,1647,1,0,6,520.049011,0.619846,0,4459.480957,-37.4731449999999,-136.899902,43.1098630000006,202.731933999999,-62.5791019999997,-83.8359380000002,-172.572266,825811,1.534493,17026,three,0.0571229999999998,3.80248,-6.986281,-0.104882,0.169053,3.176753,0.0128672231025398,0.567264573991031
14552,1768,1939,1,1,6,640.949829,0.596911,0,5040.283691,205.631348000001,298.42627,15.5043940000005,256.164551,-593.591797,229.127930000001,237.41748,860220,0.371998,7924,three,-0.0516810000000003,4.379353,-7.633206,-0.137809,0.218308,3.121673,0.407738612717293,0.567264573991031
12497,2079,3007,1,1,6,635.308289,12.401663,0,5070.79541,-224.271484,88.4536130000006,587.684082,-514.80957,-171.530761999999,-214.068847,161.550293,860220,0.371998,6558,three,-0.0512449999999998,4.521787,-7.794296,-0.124682,0.225278,3.120668,0.386346050782498,0.567264573991031
13388,1315,2221,1,1,6,604.362244,6.972643,0,5151.76709,98.841308,100.385254,546.690918,-51.8427740000006,-718.810058,222.417968000001,203.59668,843015,0.371998,6752,three,-0.0507119999999999,4.437644,-7.709407,-0.123676,0.222941,3.121786,0.376292832041822,1.13452914798206
14284,873,1440,1,1,6,700.071716,17.426826,0,5223.413086,-55.8657229999999,-395.658691,1233.123535,-369.510254,-965.153321,441.333008,238.756836,855350,0.371998,7063,three,-0.050179,4.353503,-7.624519,-0.12267,0.220603,3.122904,0.322358086304093,0.567264573991031
