A128,A129,A130,A154,A347,A360,A361,A362,PML,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
9071,189,16656,1,0,12,1102.973145,22.626245,0,5016.625977,-930.419678,-1146.595948,793.525147,159.122558,-136.015625,-600.45581,275.90625,817209,7.314028,9134,0.458077,3.425812,4.878669,-8.072312,0.0223990000000001,0.203509,0.628587844666142,1.31985731272295
9255,823,16504,1,0,12,1312.225586,18.706549,0,4435.817383,-548.807373,-157.306640999999,483.794922,454.742187999999,-51.9785160000001,-1278.059326,345.892578999999,817209,5.812472,8798,0.457425,3.426327,4.874281,-8.068118,0.020095,0.20484,0.568692837719358,0.219976218787158
11266,228,17675,1,0,12,1465.539551,28.13348,0,5457.589844,-1005.698242,-1330.602539,801.086914,-185.388184,772.310059,-1063.104492,440.826172,817209,3.971856,10369,0.464755,3.426101,4.825598,-8.024647,0.027002,0.210701,0.688407481633205,0.219976218787158
11566,1092,17503,1,0,12,1816.979736,33.747799,0,4991.993652,-629.087402,-1346.017822,-101.074707,1042.137939,115.314942,-339.447754,547.559326,817209,3.099985,10244,0.463517,3.426439,4.820819,-8.020139,0.0249030000000001,0.211495,0.74452872613373,0.219976218787158
10730,1482,17284,1,0,12,1491.247803,23.070419,0,3593.200195,680.901367,503.412598,438.789551,76.2836909999996,352.197266,-689.781739,508.626953,808606,3.342172,9321,0.459045,3.426953,4.848803,-8.044855,0.0193970000000001,0.208747,0.722280060566165,0.439952437574316
11122,2294,17285,1,0,12,1819.848022,27.990704,0,3791.11792,-331.841553,-504.201172,290.634766,165.356689,174.073975,-457.705811,554.860596,800004,3.19686,9274,0.458314,3.427341,4.84388,-8.040298,0.0173899999999998,0.210001,0.75616642969529,0.439952437574316
11576,3153,17335,1,0,12,1945.4375,14.154033,0,4613.87207,-832.63916,-1487.579345,568.882324,46.4147950000001,-109.890625,149.533691,608.405273,791402,3.778107,9321,0.457636,3.427699,4.838766,-8.035606,0.0154930000000002,0.211284,0.386107647047385,0.219976218787158
10791,3550,16408,1,0,12,1626.661133,25.270922,0,4252.262207,-208.41748,-794.108887,639.79834,-402.013183,723.820312,-375.914062,544.228516,800004,4.553103,8398,0.455265,3.428105,4.854971,-8.050232,0.011863,0.210558,0.618223951698346,0.219976218787158
10032,4100,15481,1,0,12,1348.723999,12.721349,0,3760.684326,235.861084,-474.891846,584.34668,159.316162,222.292237000001,-255.202149,474.106933999999,817209,5.376537,7477,0.452478,3.428572,4.872849,-8.066539,0.00757699999999994,0.210019,0.415431099412169,0.219976218787158
12067,3994,17429,1,0,12,1682.537842,22.126047,0,3356.251709,75.344482,-35.1049800000001,259.687011,1208.794678,-493.286133000001,-864.746094,612.406006,808606,4.359354,9458,0.457017,3.428025,4.833459,-8.03077,0.0137139999999998,0.212589,0.721618131801318,1.53983353151011
10594,4809,15587,1,0,12,1443.747314,16.503481,0,4494.870605,-502.265625,-924.960449,568.553711,-91.1955560000006,-259.640625,204.977294,452.044433,817209,5.667161,7648,0.452255,3.428974,4.867531,-8.061742,0.00581200000000015,0.21168,0.461895156705014,0.439952437574316
9907,4794,14668,1,0,12,1274.932617,6.640042,0,3983.220703,991.927246,-78.0446779999997,153.508301,46.0812989999999,647.983398,222.398926,413.518553999999,713982,6.539031,6752,0.449213,3.429551,4.887234,-8.079904,0.000823000000000018,0.211509,0.269375817878581,0.439952437574316
9078,4140,13750,1,0,12,1263.559448,2.686068,0,5227.116211,-1217.641357,-1195.850586,522.666992,-230.325195,-342.472168,28.3396000000002,409.217773,843015,7.410902,5865,0.445702,3.43021,4.908925,-8.100053,-0.00493200000000016,0.211552,0.0772059254842409,0.219976218787158
10207,4159,14841,0,0,12,1280,0,0,4003.260742,423.055664,197.614258,423.853027,-402.579589,483.521972,-279.354004,343.109374,825811,6.878092,7063,0.449242,3.430292,4.875896,-8.069796,-0.00226199999999999,0.215112,0.000168503363497712,0.219976218787158
