x,y,A128,A129,A130,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
819743,9806543,8050,823,15958,0,1204.5085449,20.7239456,0,0,0,0,0,0,0,1948,817209,8.28277305461857,8749,two1521,0.252394342388191,0.324817518248175
817888,9803761,10407,885,17330,0,1299.0720215,18.1872463,0,0,0,0,0,0,0,7792,817209,4.16560516197191,9458,two1723,0.263626170465528,0.324817518248175
816961,9802833,11566,1092,17503,0,1816.9797363,33.7477989,0,974,0,0,0,974,0,2921.9999085,817209,3.09998523681631,10244,two1791,0.590171067055922,1.94890510948905
820671,9802833,8227,3439,14495,0,1222.1010742,3.1680346,0,0,0,0,0,0,0,16557.9995118,817209,5.52184870307905,6558,two1795,0.0568273776607278,0.324817518248175
817888,9800978,11576,3153,17335,0,1945.4375,14.1540327,0,1948,0,0,974,974,0,0,791402,3.77810700736987,9321,two1927,0.266682047406215,0.974452554744526
819743,9800978,10032,4100,15481,0,1348.723999,12.7213488,0,0,0,0,0,0,0,4870.0001526,817209,5.37653689510328,7477,two1929,0.223669119244972,0.324817518248175
822525,9800978,7972,4202,12705,0,1233.9417725,8.9127016,0,0,0,0,0,0,0,28245.9991455,825811,7.89527490001653,4729,two1932,0.0525363850193197,0.64963503649635
817888,9800051,12067,3994,17429,0,1682.5378418,22.1260471,0,0,0,0,0,0,0,974,808606,4.35935423927293,9458,two1995,0.517369924101982,1.62408759124088
821598,9785211,5526,6215,13388,0,1381.0397949,24.5218925,0,0,0,0,0,0,0,0,748391,5.37653689510328,4637,two3136,0.34632938665297,0.324817518248175
823453,9785211,3774,6759,11539,0,1277.0587158,21.5760746,0,0,0,0,0,0,0,15584.0001221,817209,4.64997785522446,3344,two3138,0.229689094130259,0.64963503649635
818816,9784283,8080,4126,16115,0,1512.7702637,25.4790764,0,0,0,0,0,0,0,0,817209,6.29684501228312,7477,two3215,0.575360566613283,0.324817518248175
817888,9783356,8970,3783,16785,0,1573.0791016,12.6967907,0,0,0,0,0,0,0,974,774198,5.86090958835583,8749,two3297,0.229381252497528,0.324817518248175
818816,9783356,8040,4606,16118,0,1544.9233398,25.6571503,0,0,0,0,0,0,0,974,817209,5.5702859724043,7978,two3298,0.578474577093535,4.22262773722628
819743,9783356,7110,5408,15188,0,1531.18396,12.3089361,0,0,0,0,0,0,0,974,834413,5.52184870307905,7243,two3299,0.303759350880642,0.974452554744526
817888,9781501,9173,4615,15402,0,1627.8868408,8.7461395,0,0,0,0,0,0,0,2922.0000534,781826,4.35935423927293,9859,two3466,0.102977838031636,0.324817518248175
892087,9764806,38860,1650,2760,0,444.7907715,2.5008435,0,0,0,0,0,0,0,1947.9999847,851618,0.09687453865051,10369,two5344,0.000180412803811284,0.324817518248175
839220,9760169,1548,5964,9251,0,1172.4376221,1.337238,0,18506,12662,0,0,2922,2922,18506.0002136,843015,7.26559039878822,9989,two5950,0.00691324119011183,0.324817518248175
889304,9758314,36813,642,3440,0,466.1534119,5.6240664,0,0,0,0,0,0,0,11688,860220,1.30780627178188,8749,two6285,0.000276553102187779,0.324817518248175
889304,9757387,37011,300,4176,0,458.0038147,0.1448059,0,0,0,0,0,0,0,8766,860220,1.69530442638392,9274,two6428,0.000219750750071409,0.324817518248175
889304,9755532,37466,782,5790,0,422.1095886,7.1116614,0,0,0,0,0,0,0,0,860220,1.69530442638392,10493,two6719,0.000985699872642883,0.64963503649635
842003,9754604,5820,5880,12731,0,1340.524292,13.3522949,0,974,0,0,0,0,974,25324.0008545,844800,14.7733671442027,7648,two6814,0.0943155343088575,0.324817518248175
889304,9754604,37729,706,5355,0,468.2431641,15.3726273,0,0,0,0,0,0,0,0,851618,1.35624354110713,11168,two6865,0.00137608179794031,0.324817518248175
841075,9753677,6031,4615,14026,0,1409.8786621,14.0251064,0,0,0,0,0,0,0,17532.0008545,817209,14.9186789521785,6558,two6961,0.143993999105365,0.64963503649635
842003,9753677,6540,5460,13508,0,1560.2762451,21.3694878,0,0,0,0,0,0,0,11687.9998779,834413,14.3858689896007,6752,two6962,0.281576237320821,0.324817518248175
840148,9752749,6507,3388,14410,0,1302.201416,7.601223,0,0,0,0,0,0,0,6818,834413,15.20930256813,5564,two7111,0.136251830986914,0.64963503649635
886522,9752749,35700,1389,2388,0,469.9124451,16.1572304,0,1948,974,0,0,0,974,7792,860220,0.678121770553567,10369,two7161,0.000460780302387614,0.64963503649635
841075,9751822,7705,4117,15579,0,1261.4938965,24.976841,0,0,0,0,0,0,0,0,817209,15.20930256813,4729,two7266,0.628828144231065,1.2992700729927
842003,9751822,8109,5045,15115,0,1564.4758301,16.9095173,0,0,0,0,0,0,0,0,843015,14.2405571816249,4994,two7267,0.480356462113665,0.64963503649635
842930,9751822,8595,5974,14694,0,1657.5135498,22.6004524,0,0,0,0,0,0,0,0,825811,13.7077472190471,5408,two7268,0.551984271965764,0.324817518248175
843858,9751822,9150,6440,14322,0,1696.9547119,6.4555235,0,0,0,0,0,0,0,0,817209,14.1921199122997,5938,two7269,0.190711798640105,0.64963503649635
842003,9750894,8935,4743,15938,0,1336.0703125,16.7544498,0,0,0,0,0,0,0,0,817209,13.9983708349986,4147,two7422,0.53623397251951,1.2992700729927
842930,9750894,9379,5526,15540,0,1681.7946777,10.9835749,0,0,0,0,0,0,0,0,817209,13.5624354110713,4637,two7423,0.373150198018907,0.64963503649635
843858,9750894,9890,6346,15189,0,1760.75,12.0116119,0,0,0,0,0,0,0,0,817209,13.9499335656734,5246,two7424,0.374582744244479,0.974452554744526
833655,9749967,1906,2452,8980,0,1174.9523926,8.8324213,0,0,0,0,0,0,0,3895.9999695,834413,9.1062066331479,7063,two7569,0.0117172406018299,0.324817518248175
841075,9749967,8372,3453,16203,0,1278.7174072,21.4288197,0,0,0,0,0,0,0,0,843015,14.4827435282512,2932,two7577,0.692221021575426,8.44525547445255
842003,9749967,9284,4266,16773,0,1420.2165527,20.9193764,0,0,0,0,0,0,0,0,817209,13.9014962963481,3344,two7578,0.705649303504663,7.7956204379562
842930,9749967,10187,5119,16396,0,1597.3577881,18.2085495,0,0,0,0,0,0,0,0,817209,13.5139981417461,3934,two7579,0.626947952551074,1.2992700729927
843858,9749967,10660,5995,16063,0,1764.2518311,6.7268777,0,0,0,0,0,0,0,0,808606,13.8046217576976,4637,two7580,0.339498831921465,0.974452554744526
841075,9749039,8614,3054,16410,0,1345.7409668,12.1326218,0,0,0,0,0,0,0,0,834413,13.4171236030956,2073,two7734,0.505761828383421,0.974452554744526
842003,9749039,9502,3951,17317,0,1563.7740479,21.0562859,0,0,0,0,0,0,0,0,825811,13.5624354110713,2623,two7735,0.769141124031257,13.3175182481752
841075,9748112,8946,2910,16617,0,1407.8419189,17.0710564,0,0,0,0,0,0,0,0,817209,12.8843136405178,1311,two7894,0.614552300814845,0.64963503649635
