A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
10407,885,17330,1,0,1299.0720215,18.1872463,0,0,0,0,0,0,0,7792,817209,4.16560516197191,9458,two1723,0.241745778965777,0.33769322235434,817888,9803761,-78.1430507582106,-1.77321375458528
12067,3994,17429,1,0,1682.5378418,22.1260471,0,0,0,0,0,0,0,974,808606,4.35935423927293,9458,two1995,0.477288031571511,0.33769322235434,817888,9800051,-78.1429988257238,-1.80673625653068
9078,4140,13750,1,0,1263.5594482,2.6860676,0,0,0,0,0,0,0,19480,843015,7.41090220676399,5865,two1999,0.0535291423233953,0.33769322235434,821598,9800051,-78.1096844482904,-1.80668320376575
4611,3028,13387,0,0,1336.75,10.0667305,0,0,0,0,0,0,0,15584,834413,3.87498154602038,2932,two2829,0.000168362816193047,0.33769322235434,822525,9788921,-78.1011920163749,-1.90723356681065
6679,3300,14839,1,0,1526.0186768,9.6226377,0,0,0,0,0,0,0,0,817209,4.74685239387497,4637,two2902,0.176422721291485,0.33769322235434,820671,9787993,-78.1178359118166,-1.91564216063124
9137,2875,17093,1,0,1647.5406494,14.9428444,0,0,0,0,0,0,0,0,817209,7.0718413214872,7924,two3132,0.323310835617,1.01307966706302,817888,9785211,-78.1427813528583,-1.94082612240058
5526,6215,13388,1,0,1381.0397949,24.5218925,0,0,0,0,0,0,0,0,748391,5.37653689510328,4637,two3136,0.354758175615955,0.67538644470868,821598,9785211,-78.1094644481193,-1.94076912944595
8080,4126,16115,1,0,1512.7702637,25.4790764,0,0,0,0,0,0,0,0,817209,6.29684501228312,7477,two3215,0.553977282893974,0.33769322235434,818816,9784283,-78.134437884138,-1.94919248343167
5312,6673,13326,1,0,1437.6020508,10.9432116,0,0,0,0,0,0,0,0,817209,5.08591327915175,5246,two3218,0.219427832206232,0.67538644470868,821598,9784283,-78.1094501744149,-1.94914949200255
8040,4606,16118,1,0,1544.9233398,25.6571503,0,0,0,0,0,0,0,974,817209,5.5702859724043,7978,two3298,0.559879004109689,6.41617122473246,818816,9783356,-78.1344236723217,-1.9575730300259
7110,5408,15188,1,0,1531.18396,12.3089361,0,0,0,0,0,0,0,974,834413,5.52184870307905,7243,two3299,0.291339431839105,1.01307966706302,819743,9783356,-78.1260943332514,-1.95755867940145
5250,7032,13329,1,0,1491.3248291,11.5245733,0,0,0,0,0,0,0,0,800004,4.89216420185074,5938,two3301,0.201751813404596,0.67538644470868,821598,9783356,-78.1094358390905,-1.95752985361742
3390,8255,11471,1,0,1339.4342041,10.8415489,0,0,0,0,0,0,0,2922.0000534,834413,4.64997785522446,4729,two3303,0.18622148721875,0.33769322235434,823453,9783356,-78.0927775914153,-1.95750086179668
9411,4171,14748,1,0,1541.2738037,29.0417862,0,0,0,0,0,0,0,3896.0000534,817209,4.31091696994768,10493,two3553,0.362993655452474,0.33769322235434,817888,9780574,-78.1427101950632,-1.98272915715476
4428,5752,11290,1,0,1404.0670166,25.42416,0,0,0,0,0,0,0,2922.0000534,834413,4.60154058589921,5938,two3559,0.262255227846252,0.33769322235434,823453,9780574,-78.0927339665904,-1.98264156831709
6387,2299,11318,1,0,1644.6376953,18.3999023,0,0,0,0,0,0,0,0,817209,5.61872324172956,8398,two4169,0.0498822078310171,0.33769322235434,817888,9774081,-78.1426080155459,-2.04139336556495
38850,720,3318,1,0,451.8155823,2.8703821,0,0,0,0,0,0,0,3895.9999847,858272,0.145311807975764,10574,two5216,0.000203015514455087,0.33769322235434,892087,9765734,-77.4762626463055,-2.11543906459321
39790,1103,3498,1,0,431,-0.0808102,0,0,0,0,0,0,0,2922.0001068,860220,0.823433578529332,11283,two5345,0.000173525340835669,0.33769322235434,893014,9764806,-77.4679188735532,-2.12379505057274
1643,4740,8872,1,0,1159.9873047,0.5493218,0,9740,7792,0,0,0,1948,13636.0004273,849670,6.24840774295787,9548,two5812,0.0070812893735076,0.67538644470868,838293,9761096,-77.9591393819246,-2.15836389021908
