A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,toPeru.within10km,distance,weights
9071,189,16656,1,0,1102.973145,22.626245,0,0,0,0,0,0,0,4870,817209,7.314028,9134,two1589,0,0.246174863251223,0.620689655172414
10407,885,17330,1,0,1299.072021,18.187246,0,0,0,0,0,0,0,7792,817209,4.165605,9458,two1723,0,0.18827522729738,0.310344827586207
8613,4816,13630,1,0,1199.924561,0.545861,0,0,0,0,0,0,0,23376.000215,817209,7.26559,5641,two1931,0,0.0282596171791119,0.310344827586207
7972,4202,12705,1,0,1233.941772,8.912702,0,0,0,0,0,0,0,28245.999148,825811,7.895275,4729,two1932,0,0.0380814194192174,0.310344827586207
9078,4140,13750,1,0,1263.559448,2.686068,0,0,0,0,0,0,0,19480,843015,7.410902,5865,two1999,0,0.0398944899839592,0.620689655172414
3774,6759,11539,1,0,1277.058716,21.576075,0,0,0,0,0,0,0,15584.000118,817209,4.649978,3344,two3138,0,0.205015114222934,0.620689655172414
8080,4126,16115,1,0,1512.770264,25.479076,0,0,0,0,0,0,0,0,817209,6.296845,7477,two3215,0,0.466738161436822,0.620689655172414
8040,4606,16118,1,0,1544.92334,25.65715,0,0,0,0,0,0,0,974,817209,5.570286,7978,two3298,0,0.4676140039297,5.27586206896552
7110,5408,15188,1,0,1531.18396,12.308936,0,0,0,0,0,0,0,974,834413,5.521849,7243,two3299,0,0.221785678864522,0.310344827586207
3390,8255,11471,1,0,1339.434204,10.841549,0,0,0,0,0,0,0,2922.000053,834413,4.649978,4729,two3303,0,0.156473457652813,0.310344827586207
4428,5752,11290,1,0,1404.067017,25.42416,0,0,0,0,0,0,0,2922.000053,834413,4.601541,5938,two3559,0,0.232789285180547,0.310344827586207
2532,3888,8101,1,0,1160,0,0,11688,0,1948,0,0,9740,16558.000431,834413,5.909347,10032,two5678,0,0.00291165199480743,0.310344827586207
1643,4740,8872,1,0,1159.987305,0.549322,0,9740,7792,0,0,0,1948,13636.000431,849670,6.248408,9548,two5812,0,0.00681156461741041,0.310344827586207
848,5616,9671,1,0,1163.495972,0.925212,0,19480,0,3896,0,0,15584,22402.000431,834413,6.73278,9134,two5949,0,0.00826636883602911,0.310344827586207
37232,494,4978,1,0,431.627197,11.779301,0,0,0,0,0,0,0,0,860220,1.889054,9859,two6573,0,0.00130576596555839,0.310344827586207
5820,5880,12731,1,0,1340.524292,13.352295,0,974,0,0,0,0,974,25324.000852,844800,14.773367,7648,two6814,0,0.0751190843672243,0.310344827586207
35956,2554,4467,1,0,464.637329,6.465198,0,0,0,0,0,0,0,0,860220,1.889054,10032,two6863,0,0.00103048698964228,0.310344827586207
36841,1626,4911,1,0,457.457306,2.814743,0,0,0,0,0,0,0,0,860220,1.501555,10574,two6864,0,0.000650762415300669,0.310344827586207
6507,3388,14410,1,0,1302.201416,7.601223,0,0,0,0,0,0,0,6818,834413,15.209303,5564,two7111,0,0.102372305926889,0.310344827586207
35700,1389,2388,1,0,469.912445,16.15723,0,1948,974,0,0,0,974,7792,860220,0.678122,10369,two7161,0,0.000653439129715634,0.310344827586207
7705,4117,15579,1,0,1261.493896,24.976841,0,0,0,0,0,0,0,0,817209,15.209303,4729,two7266,0,0.547425384970594,4.96551724137931
8935,4743,15938,1,0,1336.070312,16.75445,0,0,0,0,0,0,0,0,817209,13.998371,4147,two7422,0,0.418940855003543,0.620689655172414
9379,5526,15540,1,0,1681.794678,10.983575,0,0,0,0,0,0,0,0,817209,13.562435,4637,two7423,0,0.23481611390552,0.310344827586207
1906,2452,8980,1,0,1174.952393,8.832421,0,0,0,0,0,0,0,3895.999969,834413,9.106207,7063,two7569,0,0.0146954177088915,0.310344827586207
8372,3453,16203,1,0,1278.717407,21.42882,0,0,0,0,0,0,0,0,843015,14.482744,2932,two7577,0,0.590250871699904,6.82758620689655
9284,4266,16773,1,0,1420.216553,20.919376,0,0,0,0,0,0,0,0,817209,13.901496,3344,two7578,0,0.572889158948832,1.24137931034483
10187,5119,16396,1,0,1597.357788,18.208549,0,0,0,0,0,0,0,0,817209,13.513998,3934,two7579,0,0.461010629621507,1.24137931034483
8614,3054,16410,1,0,1345.740967,12.132622,0,0,0,0,0,0,0,0,834413,13.417124,2073,two7734,0,0.369963663174462,0.620689655172414
9502,3951,17317,1,0,1563.774048,21.056286,0,0,0,0,0,0,0,0,825811,13.562435,2623,two7735,0,0.620519623434158,5.27586206896552
8946,2910,16617,1,0,1407.841919,17.071056,0,0,0,0,0,0,0,0,817209,12.884314,1311,two7894,0,0.462220089618067,0.620689655172414
9359,2817,16794,1,0,1200.334351,2.637804,0,0,0,0,0,0,0,0,817209,12.787439,927,two8057,0,0.224419606767224,0.310344827586207
10183,3733,17713,1,0,1389.001831,9.125147,0,0,0,0,0,0,0,0,817209,13.320249,1854,two8058,0,0.407480873571963,0.310344827586207
